stock_id,Date,Open,High,Low,Close,Volume
8,06/06/2024 16:00:00,64.49,65.8,64.42,64.85,2466664
8,07/06/2024 16:00:00,64.94,65.04,64.02,64.15,1876631
8,10/06/2024 16:00:00,64.1,64.48,63.56,64.45,2066759
8,11/06/2024 16:00:00,64.07,65.02,64.05,64.86,2167417
8,12/06/2024 16:00:00,65.22,65.58,64.31,65.01,2094381
8,13/06/2024 16:00:00,64.4,65.53,64.24,65.33,1863587
8,14/06/2024 16:00:00,65.51,67.56,65.26,66.94,4447116
8,17/06/2024 16:00:00,66.91,68.27,66.51,67.58,3631184
8,18/06/2024 16:00:00,67.56,68.71,67.46,68.57,2943775
8,20/06/2024 16:00:00,68.18,68.99,67.37,67.9,2585089
8,21/06/2024 16:00:00,68.33,68.69,67.81,68.61,4557086
8,24/06/2024 16:00:00,68.5,68.55,66.45,66.9,3916335
8,25/06/2024 16:00:00,67.34,67.37,66.23,67.24,2278768
8,26/06/2024 16:00:00,67.24,68.3,67,67.77,3545815
8,27/06/2024 16:00:00,67.94,68.86,67.81,68.43,2404849
8,28/06/2024 16:00:00,67.9,68.7,67.31,67.49,3412391
8,01/07/2024 16:00:00,67.49,67.5,66.38,67.36,2212826
8,02/07/2024 16:00:00,67.35,68.17,67.01,67.96,2411426
8,03/07/2024 13:05:00,67.75,68.37,67.55,68.25,1403545
8,05/07/2024 16:00:00,68.25,69.75,67.72,69.07,2659065
8,08/07/2024 16:00:00,68.7,68.89,68.15,68.57,1930786
8,09/07/2024 16:00:00,69,69.53,68.47,68.57,2599474
8,10/07/2024 16:00:00,68.5,68.72,67.32,67.77,2651928
8,11/07/2024 16:00:00,67.25,67.25,64.74,65.28,5111928
8,12/07/2024 16:00:00,65.28,65.59,64.37,64.76,3355197
8,15/07/2024 16:00:00,64.75,66.75,64.66,65.65,3208763
8,16/07/2024 16:00:00,66.18,66.37,64.91,65.63,2685706
8,17/07/2024 16:00:00,65,65.05,63.95,64.75,4017277
8,18/07/2024 16:00:00,65.66,65.7,63.92,64.3,7575763
8,19/07/2024 16:00:00,66.06,67.9,62.91,63.33,9815631
8,22/07/2024 16:00:00,63.95,65.63,63.26,64.75,5219077
8,23/07/2024 16:00:00,64.75,64.99,64.1,64.28,2463579
8,24/07/2024 16:00:00,63.57,65.24,63.27,63.6,4888163
8,25/07/2024 16:00:00,64.1,65,62.17,63.41,4554539
8,26/07/2024 16:00:00,64.5,64.7,62.98,63.14,3120659
8,29/07/2024 16:00:00,63.46,63.46,62.39,62.7,2400537
8,30/07/2024 16:00:00,63.02,63.47,61.7,62.26,3496609
8,31/07/2024 16:00:00,62.66,63.36,62.26,62.84,3134877
